order_id,order_date,customer_id,product,quantity,price,revenue
1,2022-04-13,790,Laptop,2,49.0,98.0
2,2023-03-12,31,Laptop,1,49.0,49.0
5,2022-03-13,453,Tablet,1,49.0,49.0
6,2023-12-02,192,Phone,3,199.0,597.0
7,2022-01-21,486,Headphones,5,199.0,995.0
8,2023-09-07,1152,Headphones,1,499.0,499.0
9,2022-05-02,238,Tablet,2,99.0,198.0
10,2023-04-12,1136,Phone,1,499.0,499.0
11,2022-08-03,1169,Phone,2,99.0,198.0
12,2022-11-27,1089,Phone,1,299.0,299.0
13,2023-04-04,735,Monitor,2,99.0,198.0
14,2022-03-29,991,Phone,4,49.0,196.0
15,2023-01-08,825,Headphones,1,299.0,299.0
16,2022-04-10,106,Headphones,3,99.0,297.0
18,2022-05-11,184,Tablet,1,99.0,99.0
19,2023-10-24,226,Laptop,1,299.0,299.0
20,2022-11-05,777,Phone,1,99.0,99.0
21,2022-12-10,790,Phone,1,49.0,49.0
22,2023-05-07,1113,Phone,1,49.0,49.0
23,2023-02-18,688,Headphones,1,199.0,199.0
24,2023-01-21,530,Phone,1,99.0,99.0
25,2022-07-11,972,Phone,2,99.0,198.0
26,2022-10-04,936,Tablet,4,49.0,196.0
27,2022-06-10,106,Tablet,1,99.0,99.0
28,2023-04-05,831,Phone,1,299.0,299.0
29,2022-11-10,679,Headphones,1,299.0,299.0
30,2022-01-22,849,Tablet,4,499.0,1996.0
31,2022-09-10,1056,Phone,2,49.0,98.0
33,2023-04-20,40,Phone,1,99.0,99.0
35,2023-05-26,981,Tablet,1,99.0,99.0
36,2023-11-13,1106,Monitor,4,199.0,796.0
37,2023-04-21,845,Phone,4,99.0,396.0
39,2022-07-09,447,Laptop,2,499.0,998.0
40,2023-11-18,1062,Phone,1,299.0,299.0
42,2023-07-21,761,Monitor,4,199.0,796.0
43,2022-09-01,227,Phone,2,199.0,398.0
44,2023-05-20,48,Phone,1,49.0,49.0
46,2023-04-30,912,Phone,3,199.0,597.0
47,2023-10-09,187,Phone,2,299.0,598.0
48,2022-01-21,345,Laptop,2,99.0,198.0
49,2022-06-16,224,Phone,1,199.0,199.0
50,2022-10-01,830,Laptop,1,999.0,999.0
51,2023-01-23,488,Phone,5,49.0,245.0
52,2023-08-24,877,Laptop,2,99.0,198.0
53,2022-11-12,849,Tablet,1,49.0,49.0
54,2022-01-14,979,Phone,2,299.0,598.0
55,2022-08-30,1017,Headphones,3,49.0,147.0
56,2022-12-12,188,Phone,1,49.0,49.0
57,2023-07-19,270,Phone,1,99.0,99.0
58,2022-12-06,310,Phone,2,199.0,398.0
59,2022-04-02,1156,Laptop,2,99.0,198.0
60,2023-01-02,1096,Monitor,3,49.0,147.0
64,2022-02-04,220,Tablet,5,299.0,1495.0
65,2022-07-25,53,Tablet,1,199.0,199.0
66,2022-03-22,758,Tablet,2,99.0,198.0
67,2023-07-16,738,Phone,2,99.0,198.0
68,2023-01-23,720,Tablet,2,199.0,398.0
69,2022-01-02,406,Laptop,1,99.0,99.0
70,2023-01-25,608,Laptop,3,99.0,297.0
71,2023-07-20,1021,Phone,3,499.0,1497.0
72,2022-04-16,422,Tablet,2,199.0,398.0
73,2023-04-22,712,Headphones,2,299.0,598.0
74,2023-12-04,247,Laptop,1,49.0,49.0
76,2023-12-31,185,Phone,1,99.0,99.0
77,2023-07-10,6,Phone,1,199.0,199.0
78,2022-06-11,906,Phone,5,299.0,1495.0
79,2022-07-21,387,Phone,3,299.0,897.0
80,2022-09-27,699,Phone,2,99.0,198.0
81,2022-09-28,1100,Tablet,2,299.0,598.0
82,2023-04-01,827,Monitor,1,999.0,999.0
83,2023-04-07,349,Phone,5,199.0,995.0
84,2023-12-28,308,Phone,1,49.0,49.0
85,2022-09-09,1151,Monitor,1,299.0,299.0
86,2023-12-03,287,Monitor,2,49.0,98.0
87,2022-10-23,766,Phone,4,499.0,1996.0
88,2023-12-26,725,Phone,4,199.0,796.0
90,2022-12-04,383,Tablet,4,49.0,196.0
91,2022-02-22,388,Phone,1,99.0,99.0
